Comment,smollm2:135m - Sentiment,smollm2:135m - Reasoning,smollm2:135m - Total Duration,smollm2:135m - Load Duration,smollm2:135m - Prompt Eval Count,smollm2:135m - Prompt Eval Duration,smollm2:135m - Eval Count,smollm2:135m - Eval Duration,smollm2:135m - Temperature,smollm2:135m - Seed,smollm2:135m - Num_ctx
Leaving.  Very impressive but getting old.  Peace out.,POSITIVE,"The comment's sentiment is positive, as it highlights the beauty and quality of Dr Elana's work in San Diego. The fact that she was able to leave a professional review on YouTube suggests that her expertise has been appreciated by many.",0.61,0.01,632,0.23,67,0.37,0,1,8192
"Hey Jason, love you and your videos. My name is XXX and I'm in the US army and currently deployed in Iraq (me in pfp). Your videos have gotten me through a lot of tough days of deployment so first off thank you for entertaining me. But I have a request, I'm scheduled to come home on June 18th so if you could do a trick, any trick you like with the 6, 1, and 8 it would make my whole week. I wish you nothing but more success and growth on your channel and please keep posting so I don't die of boredom out here. I plan on going to a show when I get back this summer so post those dates as soon as you know them! All love from Iraq!""",POSITIVE,"My classification is positive, and my analysis includes the following key phrases or words: 1. ",0.36,0.01,775,0.02,47,0.33,0,1,8192
He even trash talks himself  truly no one is safe,POSITIVE,"This comment was analyzed for emotional tone, word choice, and context.",0.22,0.01,630,0.01,35,0.20,0,1,8192
"Welcome to the hustle, indeed! 😅 I love how the ""includes paid promotion"" tag was there. I don't even know what's real anymore. But you are still the goal.",POSITIVE,"Based on the context provided in the video, it is clear that the commenter values their time and wants to make a positive impression. The sentiment is neutral, indicating that they do not have any strong negative feelings towards the company or the product.",0.41,0.01,659,0.01,69,0.39,0,1,8192
"""I am so good""  🤣🤣🤣",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is likely positive. The sentiment of the comment indicates that the person found the video to be engaging and thought-provoking.",0.36,0.01,634,0.01,60,0.34,0,1,8192
It doesn't matter how many times I watch these videos  or how many times I think I might've seen something... This guy right here is hands down the best I've ever seen. It's not even close. And he seems like he'd be a helluva guy to hang out with! Thanks for all the awesome content!,POSITIVE,"Analyzing the comment reveals that it is overwhelmingly positive, indicating that the person found the video entertaining and engaging. The sentiment analysis suggests that the viewer was likely impressed by the man's ability to watch videos multiple times without getting tired or distracted. Additionally, the fact that the person seems like a great guy who would be a good friend for life adds to the overall positive tone of the comment.",0.57,0.00,686,0.02,98,0.55,0,1,8192
Nicely done and she paid 500 for an advertisement.  😂,POSITIVE,"Based on the context provided, it is clear that the comment was made by a professional who has been in the dental field for several years and has received positive reviews from other dentists.",0.34,0.01,636,0.01,57,0.32,0,1,8192
Saw Jason live in Boca Raton. He is even better live. Definitely the GOAT!!,POSITIVE,"Based on the video context, I would classify this comment as a positive sentiment because it shows that Jason was very impressed by the top cosmetic dentist in San Diego and is even better than him. The fact that he lives in Boca Raton also suggests that he has good taste.",0.44,0.01,641,0.01,76,0.42,0,1,8192
Always love the waterfall trick! Truly impressive,POSITIVE,"The waterfall trick is a great way to get your hands on some amazing makeup tricks. It's really easy and fun, and it's super cool!",0.31,0.01,628,0.01,51,0.29,0,1,8192
I have been watching you very closely do these tricks and I can never spot how in the world you pull these tricks off. So after careful analysis  I have decided that Magic is 100% real and you my friend have mastered it!,POSITIVE,"Based on the context provided, I can see that the comment's sentiment is positive. The text mentions that the person has been watching you closely and that they've always managed to pull tricks off with your skills.",0.37,0.01,668,0.01,62,0.35,0,1,8192
This man's CGI machine must be burning  😂,POSITIVE,"The sentiment of the comment is positive, as it clearly states that the person who made the comment was trying to make a point about their own work. The fact that they're using CGI machine means that they are attempting to create something new and innovative.",0.41,0.01,630,0.01,70,0.39,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment highlights the fact that Dr Elana is a top cosmetic dentist in San Diego who has been working on his own personal projects for years to improve his skills.",0.43,0.01,653,0.01,73,0.41,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"Based on the context provided, it appears that Mr. Jason was extremely nervous and anxious about speaking with the wall in front of his family.",0.30,0.00,636,0.01,49,0.28,0,1,8192
Respect for leaving in the blooper,POSITIVE,This comment is a clear example of how Dr. Elana feels about her job and how she's trying to make it better.,0.29,0.01,627,0.01,47,0.27,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive.",0.26,0.00,675,0.01,41,0.24,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment highlights the speaker's admiration for someone who has achieved greatness in a particular field or area of expertise.",0.36,0.00,639,0.01,62,0.35,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment's emotional tone is positive, as it highlights the exceptional quality of Dr Elana's surgery and her commitment to providing top-notch cosmetic dentistry services in San Diego.",0.34,0.01,627,0.01,56,0.32,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,Your classification (POSITIVE/NEUTRAL/NEGATIVE),0.23,0.01,647,0.01,37,0.21,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals a positive sentiment. The comment is informative about the process of analyzing the video content to determine the sentiment.",0.34,0.01,690,0.02,56,0.32,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"Based on the context provided, it is clear that the comment was made by a person who believes in the legitimacy of shuffling legitimate medical procedures.",0.30,0.01,625,0.01,50,0.29,0,1,8192
